run_date,reporting_period,reporting_airport,origin_destination_country,origin_destination,airline_name,arrival_departure,scheduled_charter,number_flights_matched,actual_flights_unmatched,number_flights_cancelled,flights_more_than_15_minutes_early_percent,flights_15_minutes_early_to_1_minute_early_percent,flights_0_to_15_minutes_late_percent,flights_between_16_and_30_minutes_late_percent,flights_between_31_and_60_minutes_late_percent,flights_between_61_and_120_minutes_late_percent,flights_between_121_and_180_minutes_late_percent,flights_between_181_and_360_minutes_late_percent,flights_more_than_360_minutes_late_percent,flights_unmatched_percent,flights_cancelled_percent,average_delay_mins,previous_year_month_flights_matched,previous_year_month_early_to_15_mins_late_percent,previous_year_month_average_delay,on_time_percent,delayed_over_15_percent,severe_delay_percent,estimated_delayed_flights,estimated_severe_delay_flights
2026-02-25 19:14:00,2025,ABERDEEN,ROMANIA,BUCHAREST (BANEASA),2 EXCEL AVIATION LTD T/A THE BLADES BROADSWORD SCIMITAR SABRE AND T2,D,C,1,0,0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,100.0,0.0,0.0,0.0,0.0
2026-02-25 19:14:00,2025,ABERDEEN,ROMANIA,BUCHAREST (OTOPENI),TITAN AIRWAYS LTD,D,C,1,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,100.0,0.0,0.0,0.0,0.0
2026-02-25 19:14:00,2025,ABERDEEN,UNITED KINGDOM,BELFAST CITY (GEORGE BEST),LOGANAIR LTD,A,S,260,0,2,25.954198,42.366412,17.557252,5.343511,3.435115,2.671756,0.763359,0.763359,0.381679,0.0,0.763359,11.0,277,82.978723,9.0,59.923663999999995,13.358779,4.580153,34.7328254,11.9083978
2026-02-25 19:14:00,2025,ABERDEEN,UNITED KINGDOM,BELFAST CITY (GEORGE BEST),LOGANAIR LTD,D,S,259,0,2,8.045977,60.536398,19.157088,4.597701,2.681992,2.298851,1.149425,0.383142,0.383142,0.0,0.766284,10.0,285,84.775087,9.0,79.69348600000001,11.494253,4.21456,29.77011527,10.915710399999998
2026-02-25 19:14:00,2025,ABERDEEN,UNITED KINGDOM,BELFAST INTERNATIONAL,LOGANAIR LTD,A,S,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1,0.0,336.0,0.0,0.0,0.0,0.0,0.0
2026-02-25 19:14:00,2025,ABERDEEN,UNITED KINGDOM,BELFAST INTERNATIONAL,TUI AIRWAYS LTD,D,C,1,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0,0.0,,100.0,0.0,0.0,0.0,0.0
2026-02-25 19:14:00,2025,ABERDEEN,UNITED KINGDOM,BIRMINGHAM,LOGANAIR LTD,A,S,783,0,22,15.279503,42.608696,22.857143,7.204969,4.720497,3.354037,0.869565,0.372671,0.0,0.0,2.732919,10.0,847,81.460023,11.0,65.465839,16.521739,4.596273,129.36521636999998,35.98881759
2026-02-25 19:14:00,2025,ABERDEEN,UNITED KINGDOM,BIRMINGHAM,LOGANAIR LTD,D,S,795,0,17,2.339901,57.758621,25.985222,5.172414,3.940887,1.970443,0.492611,0.246305,0.0,0.0,2.093596,7.0,853,86.326767,8.0,83.743843,11.822659999999999,2.709359,93.990147,21.53940405
2026-02-25 19:14:00,2025,ABERDEEN,UNITED KINGDOM,BRISTOL,EASYJET UK LTD,A,S,1,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0,0.0,,100.0,0.0,0.0,0.0,0.0
2026-02-25 19:14:00,2025,ABERDEEN,UNITED KINGDOM,BRISTOL,LOGANAIR LTD,A,S,239,0,9,37.096774,31.451613,15.725806,3.225806,5.241935,2.419355,1.209677,0.0,0.0,0.0,3.629032,8.0,271,83.566434,7.0,47.177419,12.096772999999999,3.6290319999999996,28.911287469999998,8.67338648
